STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA,ADDENDUM,MOA_URL,ADDENDUM_URL
ALABAMA,Autauga County Sheriff's Office ,County ,Autauga County,Jail Enforcement Model ,2025-09-22,link,,https://www.ice.gov/doclib/287gMOA/AutaugaCoSheriffsOfficeAL_JEM_MOA_09222025.pdf,
ALABAMA,Autauga County Sheriff's Office ,County ,Autauga County,Task Force Model,2025-09-22,link,,https://www.ice.gov/doclib/287gMOA/AutaugaCoSheriffsOfficeAL_TFM_MOA_09222025.pdf,
ALABAMA,Autauga County Sheriff's Office ,County ,Autauga County,Warrant Service Officer,2025-09-22,link,,https://www.ice.gov/doclib/287gMOA/AutaugaCoSheriffsOfficeAL_WSO_MOA_09222025.pdf,
ALABAMA,Baldwin County Sheriff's Office,County ,Baldwin County,Task Force Model,2025-10-17,link,,https://www.ice.gov/doclib/287gMOA/BaldwinCoSheriffsOfficeAL_TFM_MOA_10172025.pdf,
ALABAMA,Blount County Sheriff's Office,County,Blount County,Task Force Model,2026-01-26,link,,https://www.ice.gov/doclib/287gMOA/BlountCoSheriffsOfficeAL_TFM_MOA_01262026.pdf,
ALABAMA,Camp Hill Police Department,Municipality,Tallapoosa County,Task Force Model,2025-12-08,link,,https://www.ice.gov/doclib/287gMOA/CampHilPDAL_TFM_MOA_12082025.pdf,
ALABAMA,Cherokee County Sheriff's Office,County,Cherokee County,Task Force Model,2026-02-10,link pending,,,
ALABAMA,Cherokee County Sheriff's Office,County,Cherokee County,Warrant Service Officer,2025-06-25,link,,https://www.ice.gov/doclib/287gMOA/CherokeeCoSheriffsOfficeAL_WSO_MOA_06252025.pdf,
ALABAMA,Clarke County Sheriff's Office,County,County,Task Force Model,2026-01-30,link,,https://www.ice.gov/doclib/287gMOA/ClarkeCoSOAL_TFM_MOA_013026.pdf,
ALABAMA,Colbert County Sheriff's Office,County,Colbert County,Jail Enforcement Model,2025-05-08,link,,https://www.ice.gov/doclib/287gMOA/ColbertCoSheriffsOfficeAL_JEM_MOA_05.08.2025.pdf,
ALABAMA,Colbert County Sheriff's Office,County,Colbert County,Task Force Model,2025-07-02,link,,https://www.ice.gov/doclib/287gMOA/ColbertCountySO_TFM_LEA_070225.pdf,
ALABAMA,Colbert County Sheriff's Office,County,Colbert County,Warrant Service Officer,2025-05-08,link,,https://www.ice.gov/doclib/287gMOA/ColbertCoSheriffsOfficeAL_WSO_MOA_05.08.25.pdf,
ALABAMA,Crenshaw County Sheriff's Office,County,Crenshaw County,Warrant Service Officer,2025-04-16,link,,https://www.ice.gov/doclib/287gMOA/CrenshawCoAL_WSO_MOA_04.16.2025.pdf,
ALABAMA,DeKalb County Sheriff's Office,County,DeKalb County,Task Force Model,2025-12-08,link,,https://www.ice.gov/doclib/287gMOA/DeKalbCoSO_AL_TFM_MOA_12082025.pdf,
